State,Seat,District,Party,NumCand,Votes,Percentage,Candidate,NumHandle,H,Filing,Election
Texas,Governor,Governor/Senate Race,Democrat primary,9,278704,.27,Andrew White,1,randrewwhite,12/11/2017,3/6/2018
Texas,Governor,Governor/Senate Race,Democrat primary,9,436659,.43,Lupe Valdez,1,lupevaldez,12/11/2017,3/6/2018
Texas,Governor,Governor/Senate Race,Republican primary,3,1392294,.9,Greg Abbott,1,gregabbott_tx,12/11/2017,3/6/2018
Texas,House,Texas 10th congressional district,Democrat primary,7,6938,.18,Tawana Walter-Cadien,1,cadien4congress,12/11/2017,3/6/2018
Texas,House,Texas 10th congressional district,Democrat primary,7,15434,.4,Mike Siegel,1,siegelfortexas,12/11/2017,3/6/2018
Texas,House,Texas 10th congressional district,Republican primary,2,41881,.8,Michael McCaul,1,mccaulfortexas,12/11/2017,3/6/2018
Texas,House,Texas 11th congressional district,Democrat primary,2,7246,.83,Jennie Lou Leeder,1,jennielouleeder,12/11/2017,3/6/2018
Texas,House,Texas 11th congressional district,Republican primary,2,13047,.17,Paul Myers,1,tompaulmyers,12/11/2017,3/6/2018
Texas,House,Texas 11th congressional district,Republican primary,2,63410,.83,Mike Conaway,1,conawaytx11,12/11/2017,3/6/2018
Texas,House,Texas 14th congressional district,Democrat primary,2,4923,.2,Levy Barnes,1,drlevyqbarnesjr,12/11/2017,3/6/2018
Texas,House,Texas 14th congressional district,Democrat primary,2,4923,.2,Levy Barnes,2,drlevybarnes,12/11/2017,3/6/2018
Texas,House,Texas 14th congressional district,Democrat primary,2,19458,.8,Adrienne Bell,1,adrbell,12/11/2017,3/6/2018
Texas,House,Texas 14th congressional district,Republican primary,3,8742,.2,Bill Sargent,1,billsargent1,12/11/2017,3/6/2018
Texas,House,Texas 14th congressional district,Republican primary,3,33509,.75,Randy Weber,1,weberfortexas,12/11/2017,3/6/2018
Texas,House,Texas 16th congressional district,Democrat primary,6,10992,.22,Dori Fenenbock,1,dorifenenbock,12/11/2017,3/6/2018
Texas,House,Texas 16th congressional district,Democrat primary,6,30630,.61,Veronica Escobar,1,vgescobar,12/11/2017,3/6/2018
Texas,House,Texas 16th congressional district,Republican primary,2,7273,.69,Rick Seeberger,1,rickseeberger,12/11/2017,3/6/2018
Texas,House,Texas 17th congressional district,Democrat primary,2,8300,.37,Dale Mantey,1,manteyds,12/11/2017,3/6/2018
Texas,House,Texas 17th congressional district,Democrat primary,2,14343,.63,Rick Kennedy,1,rickkennedytx17,12/11/2017,3/6/2018
Texas,House,Texas 18th congressional district,Democrat primary,2,5604,.14,Richard Johnson,1,drjohnsontexas,12/11/2017,3/6/2018
Texas,House,Texas 18th congressional district,Democrat primary,2,34514,.86,Sheila Jackson Lee,1,jacksonleetx18,12/11/2017,3/6/2018
Texas,House,Texas 1st congressional district,Democrat primary,2,5858,.39,Brent Beal,1,beal2018,12/11/2017,3/6/2018
Texas,House,Texas 1st congressional district,Democrat primary,2,9181,.61,Shirley McKellar,1,vote4mckellar,12/11/2017,3/6/2018
Texas,House,Texas 1st congressional district,Republican primary,3,6504,.09,Anthony Culler,1,anthonyculler,12/11/2017,3/6/2018
Texas,House,Texas 1st congressional district,Republican primary,3,64004,.88,Louie Gohmert,1,replouiegohmert,12/11/2017,3/6/2018
Texas,House,Texas 21st congressional district,Democrat primary,4,14684,.29,Joseph Kopser,1,josephkopser,12/11/2017,3/6/2018
Texas,House,Texas 21st congressional district,Republican primary,18,12088,.17,Matt McCall,1,votemattmccall,12/11/2017,3/6/2018
Texas,House,Texas 21st congressional district,Republican primary,18,19319,.27,Chip Roy,1,chiproytx,12/11/2017,3/6/2018
Texas,House,Texas 22nd congressional district,Democrat primary,5,7230,.24,Letitia Plummer,1,letitiaplummer,12/11/2017,3/6/2018
Texas,House,Texas 22nd congressional district,Democrat primary,5,9466,.32,Sri Kulkarni,1,sripkulkarni,12/11/2017,3/6/2018
Texas,House,Texas 22nd congressional district,Republican primary,4,6170,.14,Danny Nguyen,1,dnforcongress,12/11/2017,3/6/2018
Texas,House,Texas 22nd congressional district,Republican primary,4,35782,.78,Pete Olson,1,peteolson,12/11/2017,3/6/2018
Texas,House,Texas 23rd congressional district,Democrat primary,5,18382,.41,Gina Jones,1,ginaortizjones,12/11/2017,3/6/2018
Texas,House,Texas 23rd congressional district,Republican primary,2,24856,.8,Will Hurd,1,hurdonthehill,12/11/2017,3/6/2018
Texas,House,Texas 24th congressional district,Democrat primary,4,5970,.22,John Biggan,1,bigganfortexas,12/11/2017,3/6/2018
Texas,House,Texas 24th congressional district,Democrat primary,4,14551,.52,Jan McDowell,1,janforcongress,12/11/2017,3/6/2018
Texas,House,Texas 24th congressional district,Republican primary,2,30310,.74,Kenny Marchant,1,marchantfortx24,12/11/2017,3/6/2018
Texas,House,Texas 25th congressional district,Democrat primary,5,11220,.26,Julie Oliver,1,juliefortx25,12/11/2017,3/6/2018
Texas,House,Texas 25th congressional district,Democrat primary,5,13896,.33,Chris Perri,1,chrisperritx,12/11/2017,3/6/2018
Texas,House,Texas 26th congressional district,Democrat primary,2,12402,.47,Will Fisher,1,willfishertx,12/11/2017,3/6/2018
Texas,House,Texas 26th congressional district,Democrat primary,2,13817,.53,Linsey Fagan,1,linseyfagantx,12/11/2017,3/6/2018
Texas,House,Texas 26th congressional district,Republican primary,2,12684,.23,Veronica Birkenstock,1,vtbirkenstock,12/11/2017,3/6/2018
Texas,House,Texas 26th congressional district,Republican primary,2,42290,.77,Michael Burgess,1,michaelcburgess,12/11/2017,3/6/2018
