handle,code,other
144000bound,Activist,
1b7mwc0331,Other,Veteran
2018magamidtrmt,Activist,
45ismyguy2020,Activist,
5945usartr,Activist,
_chismosa_,Other,Student
_fever7,Other,Deleted
_norseman09,Activist,
_pamcampos,Advocate,
_rebeccamoore_,Other,Deleted
_sjpeace_,Activist,
_tjo_,Other,Father
_waleedshahid,Advocate,
_zakali,Journalist,
a_free_man22,Other,Non-English
aaaj_alc,Political Group,
aaronblake,Journalist,
abc,News,
abcpolitics,News,
abdulelsayed,Advocate,
achrisostler,Activist,
aclu,Political Group,
acosta,Journalist,
adamaesq,Advocate,
adamcbest,Activist,
adamparkhomenko,Advocate,
adamserwer,Journalist,
addie_1122,Activist,
adia66,Activist,
adicaves,Other,Student
adybarkan,Activist,
afbranco,Artist,
afjustice,Political Group,
afp,News,
agentcarter_ssr,Activist,
agfreiria,Activist,
ajplus,News,
akilahobviously,Artist,
alamoontherise,Activist,
albertylaw,Academic,
alcardenasfl_dc,Advocate,
alecmacgillis,Journalist,
alexandraerin,Artist,
alexemmons,Journalist,
alexisinnh,Other,Deleted
alhousedems,Political Group,
alinorabdi,Other,Student
alishagia,Activist,
alohabrianb,Activist,
alohaha59067534,Activist,
alt_uscis,Activist,
altcybercommand,Activist,
altochulo,Advocate,
alyssa_milano,Artist,
amaditalks,Activist,
amarch4ourlives,Political Group,
amccloggan01,Activist,
americafirstpol,Political Group,
americanewsroom,News,
amhotflash,Activist,
amicah1,Activist,
amy_siskind,Advocate,
amykinla,Journalist,
amyklobuchar,Politician,
amymcgrathky,Activist,
amymek,Politician,
analisa_swan,Activist,
ananavarro,Journalist,
ananursingworld,Non-Political Group,
andrewcmccarthy,Journalist,
andrewgillum,Politician,
andylassner,Artist,
angiemuleroa,Activist,
angrycentrist99,Other,Deleted
anncoulter,Journalist,
anniseparker,Advocate,
annromney,Advocate,
annvandersteel,Journalist,
antheabutler,Academic,
anti_orange1,Activist,
antoniosabatojr,Artist,
anugnaa,Other,Deleted
anyasorensen,Activist,
ap,News,
ap_politics,News,
aprilfreemanfl,Politician,
apsaraewd,Activist,
aral,Activist,
ariberman,Journalist,
arifleischer,Journalist,
arirabinhavt,Advocate,
armandaviram,Advocate,
aryaresists,Other,Deleted
ashesresist,Activist,
aslavitt,Advocate,
asteadwesley,Journalist,
asyooty_el,Other,Non-English
atensnut,Activist,
aterkel,Journalist,
atheen_,Activist,
athenasalman,Politician,
atrupar,Journalist,
audebm,Activist,
augustus709,Activist,
austin__cole12,Other,Father
ava,Artist,
avenge_mypeople,Other,Deleted
axidentaliberal,Activist,
axios,News,
aymanm,Journalist,
aynrandpaulryan,Advocate,
azcardinals,Non-Political Group,
azedunited,Political Group,
azsenatedems,Political Group,
b52malmet,Artist,
b_alysse,Journalist,
babydoll_95,Activist,
baddogs4343,Artist,
bamajeans24,Artist,
barackobama,Politician,
barquitos_girl,Activist,
bartmckinley,Activist,
baseballcrank,Journalist,
bbusa617,Artist,
bcfofficial_,Political Group,
beaheroteam,Political Group,
beauwillimon,Artist,
becker_kurt,Advocate,
benedictevans,Activist,
benjaminehaas,Activist,
benjealous,Advocate,
benjysarlin,Journalist,
bennyjohnson,Advocate,
benshapiro,Journalist,
benwikler,Politician,
berniesanders,Politician,
beschlossdc,Journalist,
bessbell,Artist,
bestwebenglish,Activist,
beth2_k3a,Activist,
bethkroegs,Other,Deleted
betoorourke,Politician,
bettemidler,Artist,
bettybowers,Artist,
biafrachimezie,Activist,
bill_dance1,Artist,
billbrowder,Businessperson,
billkristol,Journalist,
binetusa,Political Group,
bisforberkshire,Journalist,
bjcreigh,Activist,
blackcatunloads,Activist,
blauesstrange,Activist,
bleacherreport,News,
blisstabitha,Activist,
bluewavecs,Political Group,
bluewavevstrump,Other,Deleted
bmw2163heart,Other,Veteran
bobbifotsch,Activist,
bobehrezh,Activist,
bodega_gyro_ao,Journalist,
bohherbert,Journalist,
bonsy123,Activist,
bornabrit1,Activist,
bourgeoisalien,Other,Deleted
braveheart_usa,Activist,
breitbartnews,News,
brendaoncats,Other,Cats
brentalfloss,Artist,
bretbaier,Journalist,
brettjsimpson,Activist,
brettmdecker,Journalist,
brianbeutler,Journalist,
brianefallon,Advocate,
brianklaas,Academic,
brianschatz,Politician,
brianstelter,Journalist,
briantylercohen,Advocate,
bridget20917878,Other,Deleted
bridget_joy_,Activist,
brithume,Journalist,
bro_pair,Journalist,
brosandprose,Journalist,
bruceaheyman,Businessperson,
brycetache,Activist,
bucksexton,Journalist,
business,News,
businessinsider,News,
buzzfeednews,News,
bvweir,Activist,
byandreawillis,Activist,
byline_media,News,
byronyork,Journalist,
c0achrex,Activist,
cagop,Political Group,
calebsaysthings,Activist,
callarri,Activist,
calnurses,Non-Political Group,
calumssherwood,Other,
camanpour,Journalist,
camedwards,Journalist,
candacetoddlv,Activist,
cannilive,Other,Cannabis
capaction,News,
cardsmarkd,Businessperson,
carlhigbie,Advocate,
carlosgsmith,Politician,
carolroberts67,Activist,
carolynbmaloney,Politician,
carolyny1948,Activist,
